0
//EventName              	DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Devil’s Boxl"			1000	  100		 1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill	Luck	Option	Excellent
14	    14	   0	      0		 0	 0	0	0
15	    13	   0	      0		 0	 0	0	0
15	    16	   0	      0		 0	 0	0	0
6	    22	   0	      0		 0	 0	0	0
7	    54	   0	      0		 0	 0	0	0
8	    54	   0	      0		 0	 0	0	0
9	    54	   0	      0		 0	 0	0	0
10	    54	   0	      0		 0	 0	0	0
11	    54	   0	      0		 0	 0	0	0
7	    74	   0	      0		 0	 0	0	0
8	    74	   0	      0		 0	 0	0	0
9	    74	   0	      0		 0	 0	0	0
10	    74	   0	      0		 0	 0	0	0
11	    74	   0	      0		 0	 0	0	0
7	    56	   0	      0		 0	 0	0	0
8	    56	   0	      0		 0	 0	0	0
9	    56	   0	      0		 0	 0	0	0
10	    56	   0	      0		 0	 0	0	0
11	    56	   0	      0		 0	 0	0	0
6	    23	   0	      0		 0	 0	0	0
7	    75	   0	      0		 0	 0	0	0
8	    75	   0	      0		 0	 0	0	0
9	    75	   0	      0		 0	 0	0	0
10	    75	   0	      0		 0	 0	0	0
11	    75	   0	      0		 0	 0	0	0
6	    24	   0	      0		 0	 0	0	0
7	    55	   0	      0		 0	 0	0	0
8	    55	   0	      0		 0	 0	0	0
9	    55	   0	      0		 0	 0	0	0
10	    55	   0	      0		 0	 0	0	0
11	    55	   0	      0		 0	 0	0	0
6	    26	   0	      0		 0	 0	0	0
7	    58	   0	      0		 0	 0	0	0
8	    58	   0	      0		 0	 0	0	0
9	    58	   0	      0		 0	 0	0	0
10	    58	   0	      0		 0	 0	0	0
11	    58	   0	      0		 0	 0	0	0
8	    57	   0	      0		 0	 0	0	0
9	    57     0	      0		 0	 0	0	0
10	    57	   0	      0		 0	 0	0	0
11	    57	   0	      0		 0	 0	0	0
6	    25	   0	      0		 0	 0	0	0
7	    76	   0	      0		 0	 0	0	0
8	    76	   0	      0		 0	 0	0	0
9	    76	   0	      0		 0	 0	0	0
10	    76	   0	      0		 0	 0	0	0
11	    76	   0	      0		 0	 0	0	0
7	    53	   0	      0		 0	 0	0	0
8	    53	   0	      0		 0	 0	0	0
9	    53	   0	      0		 0	 0	0	0
10	    53	   0	      0		 0	 0	0	0
11	    53	   0	      0		 0	 0	0	0
5	    35	   0	      0		 0	 0	0	0
5	    32	   0	      0		 0	 0	0	0
end
